Name,Year,Rank,CompScore,RoundsWon
David Vulich,2013,10,1209124,2
Shakil Assi,2013,11,889977,2
Chris Brady,2013,12,883400,2
Bo Steil,2013,13,747440,2
Mike Winzinek,2013,14,423909,2
Robin,2013,15,410237,2
Bob Jenkins,2013,16,348857,2
Ryan Ritchie,2013,17,731115,1
Dana Wilcox,2013,18,910900,1
Terry Purcell,2013,19,762803,1
Rigel Pierce,2013,20,732748,1
Jake Stein,2013,21,679241,1
Vince Clemente,2013,22,443587,1
Chris Extine,2013,23,425044,1
Alex Kerr,2013,24,309907,1
Steven Hugnes,2013,25,170961,1
Danny Vulich,2013,26,106290,1
Chris Bidwell,2013,27,98013,1
Dain Anderson,2013,28,74352,1
Cameron Eure,2013,29,0,0
Melissa Williams,2013,30,0,0
Matt Rose,2013,31,0,0
Henry Tonoyan,2013,32,0,0
Jonas,2012,1,0,5
Mike Winzinek,2012,2,860546,5
Eli Markstrom,2012,3,986690,4
Alex Kerr,2012,4,434774,4
Harry Hong,2012,5,1591544,3
Josh Tolles,2012,6,958912,3
Sean Ritchie,2012,7,604204,3
Bo Stiel,2012,8,194082,3
Trey Harrison,2012,9,1192888,2
Kevin Birrell,2012,10,1049936,2
Ben Mullen,2012,11,942185,2
Matt Buco,2012,12,791996,2
Robin,2012,13,694853,2
Jesse Kelkar,2012,14,458230,2
Chris Brady,2012,15,397929,2
Dana Wilcox,2012,16,164205,2
Steve Hill,2012,17,793606,1
Ryan Ritchie,2012,18,572647,1
Shakil Assi,2012,19,239319,1
Vince Clemente,2012,20,569506,1
Louis S,2012,21,518317,1
Nathan Graybeal,2012,22,517557,1
Dain Anderson,2012,23,447314,1
Chris Extine,2012,24,389204,1
Shawn Shwartz,2012,25,225424,1
Rigel Pierce,2012,26,171646,1
Steven Hughes,2012,27,83911,1
Jon Baker,2012,28,77037,1
Paul Fujita,2012,29,0,0
Terry Purcell,2012,30,0,0
Bob Jenkins,2012,31,0,0
Jack Slater,2012,32,0,0
